scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
208,1076.9226,57.823105,0.9767825,1084.3483,27.710669,0.77340144,1112.8083,65.75671,0.9056401
209,1076.2225,57.934017,0.98490375,1083.0215,27.607908,0.742809,1112.0564,65.469,0.89389795
210,1076.6013,58.409782,0.9701954,1083.3118,28.242083,0.7080603,1112.2365,67.588844,0.89791393
211,1077.0605,59.40819,1.0,1083.7328,29.102562,0.6959049,1111.87,68.375336,0.8816444
212,1076.8248,58.95834,1.0,1083.3611,29.129389,0.68432015,1112.6874,69.88513,0.8423191
213,1077.8002,59.35046,0.9916672,1085.4763,29.877926,0.6933389,1113.2753,70.872925,0.8186402
214,1078.1122,59.283367,0.99571097,1083.8976,29.098278,0.6948568,1113.2463,70.97363,0.8157071
215,1078.2294,58.973152,0.9963156,1083.4001,28.940447,0.6904483,1113.2911,70.936134,0.8234933
216,1078.2144,58.77311,0.98355144,1083.4258,28.731092,0.6838174,1112.7262,70.1062,0.845663
217,1079.1993,58.515293,0.97289765,1087.3392,30.673775,0.6913883,1113.1652,71.93532,0.8305323
218,1079.7472,58.78484,0.96102303,1087.9082,30.635483,0.6996689,1113.4487,72.92547,0.822581
219,1079.1174,58.96315,0.98402184,1086.9979,30.026968,0.6952046,1112.6512,71.73087,0.77889013
220,1079.6974,58.775146,0.9660268,1087.6014,30.290207,0.6848791,1113.4705,72.796844,0.8220856
221,1078.7809,58.334145,0.96330225,1084.5355,28.599821,0.6768187,1112.8248,71.26967,0.78671056
